"PROBEID" "SYMBOL" "ENTREZID"
"ILMN_10484" "MAP3K7IP2" NA
"ILMN_10486" "LOC352909" NA
"ILMN_10487" "MATK" "4145"
"ILMN_10488" "RAET1E" "135250"
"ILMN_10489" "ARTN" "9048"
"ILMN_1049" "MED8" "112950"
"ILMN_10490" "SERINC3" "10955"
"ILMN_10492" "EPHA7" "2045"
"ILMN_10493" "SMURF1" "57154"
"ILMN_10495" "SNRPA" "6626"
"ILMN_10496" "CUGBP1" NA
"ILMN_10498" "NCDN" "23154"
"ILMN_10499" "HEY2" "23493"
"ILMN_1050" "OR1D4" "653166"
"ILMN_10500" "HTR4" "3360"
"ILMN_10501" "CSTA" "1475"
"ILMN_10502" "SIAE" "54414"
"ILMN_10503" "KIAA1446" NA
"ILMN_10504" "HCLS1" "3059"
"ILMN_10505" "CRHBP" "1393"
"ILMN_10507" "ARHGAP8" "23779"
"ILMN_10508" "NOSTRIN" "115677"
"ILMN_10509" "MARCH8" "220972"
"ILMN_1051" "NUP155" "9631"
"ILMN_10511" "FN3K" "64122"
"ILMN_10512" "EDA" "1896"
"ILMN_10513" "IL7R" "3575"
"ILMN_10514" "FAM98B" "283742"
"ILMN_10515" "MARK4" "57787"
"ILMN_10516" "TAS2R40" "259286"
"ILMN_10517" "POF1B" "79983"
"ILMN_10518" "P2RX2" "22953"
"ILMN_10519" "NCOA3" "8202"
"ILMN_1052" "TMOD1" "7111"
"ILMN_10520" "STAT5A" "6776"
"ILMN_10521" "HES1" "3280"
"ILMN_10522" "H2AFY2" "55506"
"ILMN_10523" "LOC284296" NA
"ILMN_10524" "HOXC13" "3229"
"ILMN_10526" "SCN8A" "6334"
"ILMN_10527" "PDE1C" "5137"
"ILMN_10528" "MPHOSPH10" "10199"
"ILMN_10529" "POLR2H" "5437"
"ILMN_1053" "ADAT1" "23536"
"ILMN_10530" "PWP1" "11137"
"ILMN_10532" "SLC27A5" "10998"
"ILMN_10534" "ADARB2" "105"
"ILMN_10535" "PLSCR4" "57088"
"ILMN_10536" "NBPF11" "200030"
"ILMN_10539" "MARVELD2" "153562"
"ILMN_1054" "REPIN1" "29803"
"ILMN_10540" "ITSN1" "6453"
"ILMN_10541" "TMEM103" NA
"ILMN_10543" "FAM38B" NA
"ILMN_10544" "P2RX5" "5026"
"ILMN_10545" "SCYL3" "57147"
"ILMN_10547" "HEYL" "26508"
"ILMN_10548" "ALG5" "29880"
"ILMN_1055" "ZNF646" "9726"
"ILMN_10550" "ACCN4" NA
"ILMN_10552" "PPM1A" "5494"
"ILMN_10556" "SLC16A10" "117247"
"ILMN_1056" "TMEM39B" "55116"
"ILMN_10561" "BTBD14A" NA
"ILMN_10564" "C20orf67" NA
"ILMN_10565" "FST" "10468"
"ILMN_10566" "LOC493856" NA
"ILMN_10569" "BAGE4" "85317"
"ILMN_10570" "CASP14" "23581"
"ILMN_10571" "PREI3" NA
"ILMN_10573" "UTP14C" "9724"
"ILMN_10576" "FLJ43752" NA
"ILMN_10577" "DUPD1" "338599"
"ILMN_10578" "SAMD13" "148418"
"ILMN_10579" "ZNF423" "23090"
"ILMN_10580" "OR8U8" "504189"
"ILMN_10581" "OR7G3" "390883"
"ILMN_10582" "PPP1R12B" "4660"
"ILMN_10583" "SH2D1B" "117157"
"ILMN_10585" "KRT2A" NA
"ILMN_10586" "C9orf100" NA
"ILMN_10587" "WFDC8" "90199"
"ILMN_10588" "CRIM1" "51232"
"ILMN_1059" "MGC21644" NA
"ILMN_10590" "BUB1" "699"
"ILMN_10591" "DCUN1D2" "55208"
"ILMN_10592" "FUT3" "2525"
"ILMN_10593" "SPHAR" "10638"
"ILMN_10594" "RDH13" "112724"
"ILMN_10595" "SLC27A6" "28965"
"ILMN_10596" "ASPA" "443"
"ILMN_10597" "NPTXR" "23467"
"ILMN_10599" "TCF7L2" "6934"
"ILMN_1060" "PCDHA5" "56143"
"ILMN_10601" "LOC63920" NA
"ILMN_10602" "GPR15" "2838"
"ILMN_10603" "ALDH4A1" "8659"
"ILMN_10605" "TIGD7" "91151"
"ILMN_10606" "KIAA1199" NA
"ILMN_10607" "PGK1" "5230"
"ILMN_10608" "BMP5" "653"
"ILMN_1061" "REEP4" "80346"
"ILMN_10611" "PPT2" "9374"
"ILMN_10612" "MGAT5B" "146664"
"ILMN_10614" "WNT7A" "7476"
"ILMN_10615" "XKR4" "114786"
"ILMN_10618" "NOL3" "8996"
"ILMN_1062" "KRTAP4-5" "85289"
"ILMN_10620" "ACSM3" "6296"
"ILMN_10621" "CASP1" "834"
"ILMN_10623" "PROP1" "5626"
"ILMN_10626" "PRPF19" "27339"
"ILMN_10629" "ADRA1B" "147"
"ILMN_1063" "NARFL" "64428"
"ILMN_10630" "UCP3" "7352"
"ILMN_10632" "TAS2R48" NA
"ILMN_10633" "OR2B6" "26212"
"ILMN_10634" "STAT6" "6778"
"ILMN_10635" "COL4A3BP" "10087"
"ILMN_10636" "CACNG5" "27091"
"ILMN_10637" "HOXC9" "3225"
"ILMN_10638" "PYCR1" "5831"
"ILMN_10639" "TRIM49" "57093"
"ILMN_10640" "LOC492311" NA
"ILMN_10641" "SLC22A17" "51310"
"ILMN_10642" "RPL28" "6158"
"ILMN_10643" "NALP11" NA
"ILMN_10644" "C3orf32" NA
"ILMN_10645" "SLAMF9" "89886"
"ILMN_10648" "LRRC45" "201255"
"ILMN_1065" "C9orf27" NA
"ILMN_10651" "MRPS21" "54460"
"ILMN_10656" "SUPT3H" "8464"
"ILMN_10658" "DSCR9" "257203"
"ILMN_1066" "CDC42EP3" "10602"
"ILMN_10665" "C16orf60" NA
"ILMN_10667" "MME" "4311"
"ILMN_10669" "TLE1" "7088"
"ILMN_1067" "CHKB" "1120"
"ILMN_10677" "HPN" "3249"
"ILMN_10679" "C2orf28" NA
"ILMN_1068" "ELP3" "55140"
"ILMN_10681" "MGC34732" NA
"ILMN_10682" "OR5J2" "282775"
"ILMN_10683" "MGC4268" NA
"ILMN_10685" "CDO1" "1036"
"ILMN_10687" "LOC399947" NA
"ILMN_10688" "SLC6A16" "28968"
"ILMN_10689" "KIAA2026" "158358"
"ILMN_1069" "CYP2S1" "29785"
"ILMN_10690" "OR4E2" "26686"
"ILMN_10692" "PFKFB2" "5208"
"ILMN_10694" "OR11L1" "391189"
"ILMN_10695" "GPR89A" "653519"
"ILMN_10697" "FRMD5" "84978"
"ILMN_10698" "GALM" "130589"
"ILMN_10699" "SNX22" "79856"
"ILMN_1070" "ATG10" "83734"
"ILMN_10700" "PGM5" "5239"
"ILMN_10701" "NUBP2" "10101"
"ILMN_10702" "TTN" "7273"
"ILMN_10703" "HRB" NA
"ILMN_10704" "PCNXL2" NA
"ILMN_10706" "AKAP1" "8165"
"ILMN_10708" "BPIL3" NA
"ILMN_10709" "MYO1C" "4641"
"ILMN_1071" "DXS9879E" NA
"ILMN_10710" "IXL" NA
"ILMN_10711" "GPR137B" "7107"
"ILMN_10712" "ARF1" "375"
"ILMN_10713" "CECR1" "51816"
"ILMN_10714" "KLHL3" "26249"
"ILMN_10715" "TPSG1" "25823"
"ILMN_10716" "MDS032" NA
"ILMN_10717" "POLG2" "11232"
"ILMN_10718" "EIF4A1" "1973"
"ILMN_10719" "GPA33" "10223"
"ILMN_10720" "SLC14A1" "6563"
"ILMN_10721" "EGR2" "1959"
"ILMN_10722" "CDH16" "1014"
"ILMN_10723" "GAS6" "2621"
"ILMN_10724" "AHCY" "191"
"ILMN_10725" "EXTL3" "2137"
"ILMN_10726" "MAGI3" "260425"
"ILMN_10728" "MBD3L1" "85509"
"ILMN_10729" "PLCD4" "84812"
"ILMN_1073" "MSTO1" "55154"
"ILMN_10730" "PDLIM2" "64236"
"ILMN_10735" "TIE1" "7075"
"ILMN_10738" "ACSM3" "6296"
"ILMN_10741" "CARD4" NA
"ILMN_10742" "SMPD1" "6609"
"ILMN_10744" "TRAF6" "7189"
"ILMN_10745" "CCR4" "1233"
"ILMN_10747" "DNAJA3" "9093"
"ILMN_10750" "PADI3" "51702"
"ILMN_10751" "WDR45L" NA
"ILMN_10752" "SCAMP3" "10067"
"ILMN_10753" "ALG3" "10195"
"ILMN_10755" "CKB" "1152"
"ILMN_10756" "GSDM1" NA
"ILMN_10757" "ATF4" "468"
"ILMN_10759" "ZNF440L" NA
"ILMN_10760" "LTA4H" "4048"
"ILMN_10761" "POU3F3" "5455"
"ILMN_10762" "HS2ST1" "9653"
"ILMN_10763" "ZNF229" "7772"
"ILMN_10764" "C6orf84" NA
"ILMN_10766" "GPR84" "53831"
"ILMN_10767" "KIAA1838" NA
"ILMN_10769" "ZNF643" NA
"ILMN_1077" "DUS1L" "64118"
"ILMN_10770" "AKAP4" "8852"
"ILMN_10771" "UBXD1" NA
"ILMN_10772" "RPL29" "6159"
"ILMN_10773" "TMEM106A" "113277"
"ILMN_10775" "FAM105A" "54491"
"ILMN_10776" "ZNF257" "113835"
"ILMN_10778" "PRIC285" NA
"ILMN_10779" "CIDEC" "63924"
"ILMN_10780" "STK32A" "202374"
"ILMN_10783" "ADCK2" "90956"
"ILMN_10794" "KIAA0672" NA
"ILMN_10796" "TREM1" "54210"
"ILMN_10798" "LAS1L" "81887"
"ILMN_10802" "FOXH1" "8928"
"ILMN_10806" "OR6C6" "283365"
"ILMN_10810" "SP5" "389058"
"ILMN_10811" "MGC40178" NA
"ILMN_10812" "OR13J1" "392309"
"ILMN_10813" "OR52N1" "79473"
"ILMN_10814" "SLC30A8" "169026"
"ILMN_10815" "SMG5" "23381"
"ILMN_10816" "C12orf61" NA
"ILMN_10817" "TRFP" NA
"ILMN_10818" "MFSD7" "84179"
"ILMN_10819" "CGNL1" "84952"
"ILMN_1082" "ZNF677" "342926"
"ILMN_10821" "FLJ21736" NA
"ILMN_10822" "FLJ10661" NA
"ILMN_10823" "FSCN2" "25794"
"ILMN_10824" "MGC45438" NA
"ILMN_10825" "KRTAP20-1" "337975"
"ILMN_10826" "PDYN" "5173"
"ILMN_10827" "LEP" "3952"
"ILMN_10828" "MGC70870" "403340"
"ILMN_10829" "SIGLEC5" "8778"
"ILMN_10832" "BAX" "581"
"ILMN_10833" "FLJ36070" NA
"ILMN_10834" "RAB11FIP1" "80223"
"ILMN_10835" "FXYD5" "53827"
"ILMN_10836" "PROK1" "84432"
"ILMN_10837" "MMP25" "64386"
"ILMN_10839" "MBTPS2" "51360"
"ILMN_10840" "KIF4A" "24137"
"ILMN_10841" "KCNJ3" "3760"
